Sample,Method,ParsimonyScore,F1Score
18,NJ,10132,0.44526479750778825
19,SRNJ,10025,0.47989633772079393
19,DLCA-NJ,10034,0.5458413926499033
19,SNJ,10021,0.5362486975390202
19,NJ,10022,0.5470016939582157
20,SRNJ,10249,0.4866793737236216
20,DLCA-NJ,10248,0.5624141610256947
20,SNJ,10244,0.5085061137692717
20,NJ,10237,0.5470336391437309
21,SRNJ,10037,0.4562978309319773
21,DLCA-NJ,10037,0.5570702075654903
21,SNJ,10027,0.512059202059202
21,NJ,10040,0.5514399845370788
22,SRNJ,9742,0.435825461088619
22,DLCA-NJ,9737,0.49417338217338225
22,SNJ,9748,0.435301167106381
22,NJ,9737,0.5353306976361091
23,SRNJ,10080,0.4294750089204255
23,DLCA-NJ,10077,0.5759756485393667
23,SNJ,10079,0.4135055534120532
23,NJ,10065,0.5057158410451823
24,SRNJ,9904,0.41095568636552243
24,DLCA-NJ,9889,0.5491061796887039
24,SNJ,9906,0.5017293874071368
24,NJ,9889,0.4896825396825397
25,SRNJ,9883,0.4485794628651772
25,DLCA-NJ,9890,0.5609950004098024
25,SNJ,9890,0.5023828023828024
25,NJ,9879,0.5396029258098223
26,SRNJ,10102,0.5171166507623194
26,DLCA-NJ,10094,0.5988792024722256
26,SNJ,10095,0.5553138705848066
26,NJ,10096,0.65561400090915
27,SRNJ,9881,0.3890742925632526
27,DLCA-NJ,9880,0.5090809559691735
27,SNJ,9881,0.4322912541446332
27,NJ,9877,0.48754689754689745
28,SRNJ,10031,0.4257352986053893
28,DLCA-NJ,10021,0.5348792270531402
28,SNJ,10026,0.4823715916296766
28,NJ,10022,0.5626384173335093
29,SRNJ,9991,0.569766081871345
29,DLCA-NJ,9982,0.6762601626016259
29,SNJ,9982,0.5687464387464388
29,NJ,9981,0.6862067562067562
30,SRNJ,10130,0.4564446500154178
30,DLCA-NJ,10126,0.5260161587821163
30,SNJ,10123,0.5253229237044266
30,NJ,10120,0.48457626515878943
31,SRNJ,10031,0.4259829059829059
31,DLCA-NJ,10027,0.5292632555980973
31,SNJ,10036,0.4379782790309106
31,NJ,10024,0.5660811385698263
32,SRNJ,10297,0.43787833081950733
32,DLCA-NJ,10292,0.5819249349684132
32,SNJ,10289,0.5046583884319734
32,NJ,10294,0.5091224521899369
33,SRNJ,9657,0.4504012964963729
33,DLCA-NJ,9646,0.5314254975793438
33,SNJ,9650,0.41906590257879656
33,NJ,9643,0.5357570483814827
34,SRNJ,10108,0.4249750596399913
34,DLCA-NJ,10102,0.5523123123123124
34,SNJ,10107,0.4565942028985507
34,NJ,10100,0.5389782579698545
35,SRNJ,9774,0.45118932886374746
35,DLCA-NJ,9769,0.5291269841269841
35,SNJ,9777,0.5111501324446723
35,NJ,9765,0.561376219650556
36,SRNJ,9869,0.5785895824605503
36,DLCA-NJ,9864,0.7026714348453479
36,SNJ,9862,0.5757292945831628
36,NJ,9865,0.6575676983224152
37,SRNJ,9594,0.4473104355052778
37,DLCA-NJ,9583,0.5736635220125785
37,SNJ,9591,0.4783657968048212
37,NJ,9582,0.5277600212615985
38,SRNJ,10170,0.3946031746031745
38,DLCA-NJ,10163,0.4784299847106473
38,SNJ,10171,0.4910083493898522
38,NJ,10169,0.5028142949487486
39,SRNJ,10320,0.47770188182320206
39,DLCA-NJ,10309,0.6252164412685289
39,SNJ,10313,0.5065165882064211
39,NJ,10305,0.6313770478605643
40,SRNJ,9970,0.5002426388615646
40,DLCA-NJ,9955,0.6376648958105913
40,SNJ,9961,0.48179375357913745
40,NJ,9956,0.5589937106918239
41,SRNJ,10253,0.4687002919561058
41,DLCA-NJ,10246,0.49693688493086563
41,SNJ,10252,0.468385622585349
41,NJ,10242,0.61477823793848
42,SRNJ,10014,0.4607624633431085
42,DLCA-NJ,10012,0.48436525686264764
42,SNJ,10005,0.4575489552068081
42,NJ,10002,0.4969187675070028
43,SRNJ,10137,0.43431770641072964
43,DLCA-NJ,10133,0.4909892461045199
43,SNJ,10141,0.46669192506806834
43,NJ,10138,0.5081182661853588
44,SRNJ,10125,0.4976273052573631
44,DLCA-NJ,10117,0.5479541734860883
44,SNJ,10123,0.5799731172271594
44,NJ,10114,0.5624242424242425
45,SRNJ,10365,0.4558288775443353
45,DLCA-NJ,10366,0.5369388476493461
45,SNJ,10365,0.5384929372140954
45,NJ,10357,0.5536056327070448
46,SRNJ,10066,0.4067168834328112
46,DLCA-NJ,10059,0.5419856000748048
46,SNJ,10065,0.40948717948717944
46,NJ,10061,0.44845800191797824
47,SRNJ,10009,0.4472766617376564
47,DLCA-NJ,10011,0.5392262427776446
47,SNJ,10009,0.5091316526610645
47,NJ,10007,0.5281173436492586
48,SRNJ,10303,0.489570903536824
48,DLCA-NJ,10296,0.4952811615602313
48,SNJ,10305,0.46301216853727833
48,NJ,10291,0.48736453747981123
49,SRNJ,9796,0.5196605827729747
49,DLCA-NJ,9795,0.6892187057490796
49,SNJ,9801,0.5063545699290464
49,NJ,9797,0.612012987012987
