Sample,Method,ParsimonyScore,F1Score
25,NJ,8354,0.41863826637988855
26,SRNJ,8214,0.5207433901775337
26,DLCA-NJ,8207,0.5152758708365116
26,SNJ,8209,0.511780606156839
26,NJ,8209,0.5180466953667208
27,SRNJ,8373,0.5258217427457469
27,DLCA-NJ,8365,0.5231536285805619
27,SNJ,8374,0.5358423921802634
27,NJ,8368,0.5246928043319795
28,SRNJ,8411,0.5598739495798319
28,DLCA-NJ,8408,0.5607622257737858
28,SNJ,8411,0.5610791120101007
28,NJ,8405,0.5599711348559275
29,SRNJ,8645,0.48116438356164376
29,DLCA-NJ,8645,0.4883983444123918
29,SNJ,8650,0.5198584758657353
29,NJ,8644,0.49169845169845167
30,SRNJ,8370,0.4837298136914476
30,DLCA-NJ,8368,0.4840916393547973
30,SNJ,8367,0.4819063694275918
30,NJ,8372,0.4819063694275918
31,SRNJ,9055,0.5038316756440252
31,DLCA-NJ,9051,0.5049998155702063
31,SNJ,9053,0.5038288669879348
31,NJ,9047,0.5001251632842311
32,SRNJ,8068,0.5519874861980125
32,DLCA-NJ,8066,0.5535259717922257
32,SNJ,8062,0.5515287421647845
32,NJ,8070,0.5506648994678323
33,SRNJ,8493,0.4872126936184323
33,DLCA-NJ,8484,0.480252838948491
33,SNJ,8486,0.47362723310511806
33,NJ,8483,0.4713924987024814
34,SRNJ,8510,0.46532628733938064
34,DLCA-NJ,8510,0.46519094045595805
34,SNJ,8511,0.5049320635304145
34,NJ,8514,0.4665136917787094
35,SRNJ,8569,0.40312898090422583
35,DLCA-NJ,8568,0.40185872807130646
35,SNJ,8573,0.37846932970765623
35,NJ,8562,0.43925445742084107
36,SRNJ,8198,0.5459442304483761
36,DLCA-NJ,8191,0.5455670964643033
36,SNJ,8199,0.5431124168248432
36,NJ,8192,0.5484881016714926
37,SRNJ,8722,0.5169470756721392
37,DLCA-NJ,8720,0.5253680294990266
37,SNJ,8715,0.5263634152384209
37,NJ,8721,0.5287108300032449
38,SRNJ,8686,0.43084410175864457
38,DLCA-NJ,8686,0.4312416154201144
38,SNJ,8679,0.43358774759507956
38,NJ,8688,0.4290918457533399
39,SRNJ,8295,0.42032286780763634
39,DLCA-NJ,8293,0.42572919267429393
39,SNJ,8292,0.4715398420621577
39,NJ,8293,0.42439714010345986
40,SRNJ,8847,0.5538705856240561
40,DLCA-NJ,8844,0.5531919087948668
40,SNJ,8840,0.5565425398645835
40,NJ,8847,0.5512916197654122
41,SRNJ,8532,0.49024368066921264
41,DLCA-NJ,8519,0.48853427895981094
41,SNJ,8527,0.4880292284547604
41,NJ,8523,0.48581771486742775
42,SRNJ,8722,0.6209985344779362
42,DLCA-NJ,8713,0.6246516164994426
42,SNJ,8716,0.6196227059536412
42,NJ,8716,0.6172523355832709
43,SRNJ,8811,0.45554313250942463
43,DLCA-NJ,8812,0.4670779324294389
43,SNJ,8808,0.46209560003033595
43,NJ,8807,0.477348516822201
44,SRNJ,9020,0.4366956629692773
44,DLCA-NJ,9018,0.4388393895624043
44,SNJ,9016,0.4504661378998742
44,NJ,9011,0.43927386909188004
45,SRNJ,8850,0.4370329536960938
45,DLCA-NJ,8845,0.44112870608444604
45,SNJ,8848,0.4350856123719066
45,NJ,8845,0.4288705089108074
46,SRNJ,8557,0.4948298112977329
46,DLCA-NJ,8549,0.4962332046769395
46,SNJ,8555,0.5208788694235451
46,NJ,8546,0.49611746992032674
47,SRNJ,8732,0.443474638432223
47,DLCA-NJ,8724,0.45860528360528363
47,SNJ,8726,0.45487466963767403
47,NJ,8724,0.44080172715237786
48,SRNJ,8496,0.5358634328828064
48,DLCA-NJ,8484,0.5502152882222395
48,SNJ,8491,0.5327206605392396
48,NJ,8487,0.5613301793423093
49,SRNJ,8304,0.4530228758169936
49,DLCA-NJ,8305,0.45221779907113824
49,SNJ,8304,0.44662434880555685
49,NJ,8304,0.4570024880663535
