n_cells,seed,strategy,metric,dist
20,5,nll_max_lca,triplet_distance,0.12115384615384615
20,5,nll_max_lca,transfer_distance,
20,6,dlca_nj,rf_distance,0.13043478260869565
20,6,dlca_nj,quartet_distance,0.037926421404682276
20,6,dlca_nj,triplet_distance,0.12846153846153846
20,6,dlca_nj,transfer_distance,
20,6,srnj_min_D,rf_distance,0.13043478260869565
20,6,srnj_min_D,quartet_distance,0.04555183946488294
20,6,srnj_min_D,triplet_distance,0.14307692307692307
20,6,srnj_min_D,transfer_distance,
20,6,srnj_max_lca,rf_distance,0.08695652173913043
20,6,srnj_max_lca,quartet_distance,0.027759197324414717
20,6,srnj_max_lca,triplet_distance,0.11384615384615385
20,6,srnj_max_lca,transfer_distance,
20,6,gt_min,rf_distance,0.13043478260869565
20,6,gt_min,quartet_distance,0.03919732441471572
20,6,gt_min,triplet_distance,0.12846153846153846
20,6,gt_min,transfer_distance,
20,6,gt_max_lca,rf_distance,0.13043478260869565
20,6,gt_max_lca,quartet_distance,0.046822742474916385
20,6,gt_max_lca,triplet_distance,0.165
20,6,gt_max_lca,transfer_distance,
20,6,hamming,rf_distance,0.13043478260869565
20,6,hamming,quartet_distance,0.03411371237458194
20,6,hamming,triplet_distance,0.12115384615384615
20,6,hamming,transfer_distance,
20,6,hamming_max_lca,rf_distance,0.13043478260869565
20,6,hamming_max_lca,quartet_distance,0.046822742474916385
20,6,hamming_max_lca,triplet_distance,0.165
20,6,hamming_max_lca,transfer_distance,
20,6,nll,rf_distance,0.08695652173913043
20,6,nll,quartet_distance,0.027759197324414717
20,6,nll,triplet_distance,0.11384615384615385
20,6,nll,transfer_distance,
20,6,nll_max_lca,rf_distance,0.13043478260869565
20,6,nll_max_lca,quartet_distance,0.046822742474916385
20,6,nll_max_lca,triplet_distance,0.165
20,6,nll_max_lca,transfer_distance,
20,7,dlca_nj,rf_distance,0.13043478260869565
20,7,dlca_nj,quartet_distance,0.037926421404682276
20,7,dlca_nj,triplet_distance,0.12846153846153846
20,7,dlca_nj,transfer_distance,
20,7,srnj_min_D,rf_distance,0.13043478260869565
20,7,srnj_min_D,quartet_distance,0.046822742474916385
20,7,srnj_min_D,triplet_distance,0.165
20,7,srnj_min_D,transfer_distance,
20,7,srnj_max_lca,rf_distance,0.13043478260869565
20,7,srnj_max_lca,quartet_distance,0.043010033444816055
20,7,srnj_max_lca,triplet_distance,0.13576923076923078
20,7,srnj_max_lca,transfer_distance,
20,7,gt_min,rf_distance,0.13043478260869565
20,7,gt_min,quartet_distance,0.046822742474916385
20,7,gt_min,triplet_distance,0.165
20,7,gt_min,transfer_distance,
20,7,gt_max_lca,rf_distance,0.13043478260869565
20,7,gt_max_lca,quartet_distance,0.043010033444816055
20,7,gt_max_lca,triplet_distance,0.13576923076923078
20,7,gt_max_lca,transfer_distance,
20,7,hamming,rf_distance,0.13043478260869565
20,7,hamming,quartet_distance,0.04555183946488294
20,7,hamming,triplet_distance,0.14307692307692307
20,7,hamming,transfer_distance,
20,7,hamming_max_lca,rf_distance,0.13043478260869565
20,7,hamming_max_lca,quartet_distance,0.043010033444816055
20,7,hamming_max_lca,triplet_distance,0.13576923076923078
20,7,hamming_max_lca,transfer_distance,
20,7,nll,rf_distance,0.13043478260869565
20,7,nll,quartet_distance,0.046822742474916385
20,7,nll,triplet_distance,0.165
20,7,nll,transfer_distance,
20,7,nll_max_lca,rf_distance,0.13043478260869565
20,7,nll_max_lca,quartet_distance,0.04555183946488294
20,7,nll_max_lca,triplet_distance,0.14307692307692307
20,7,nll_max_lca,transfer_distance,
20,8,dlca_nj,rf_distance,0.13043478260869565
20,8,dlca_nj,quartet_distance,0.037926421404682276
20,8,dlca_nj,triplet_distance,0.12846153846153846
20,8,dlca_nj,transfer_distance,
20,8,srnj_min_D,rf_distance,0.13043478260869565
20,8,srnj_min_D,quartet_distance,0.043010033444816055
20,8,srnj_min_D,triplet_distance,0.13576923076923078
20,8,srnj_min_D,transfer_distance,
20,8,srnj_max_lca,rf_distance,0.13043478260869565
20,8,srnj_max_lca,quartet_distance,0.03411371237458194
20,8,srnj_max_lca,triplet_distance,0.12115384615384615
20,8,srnj_max_lca,transfer_distance,
20,8,gt_min,rf_distance,0.13043478260869565
20,8,gt_min,quartet_distance,0.04555183946488294
20,8,gt_min,triplet_distance,0.14307692307692307
20,8,gt_min,transfer_distance,
20,8,gt_max_lca,rf_distance,0.13043478260869565
20,8,gt_max_lca,quartet_distance,0.043010033444816055
20,8,gt_max_lca,triplet_distance,0.13576923076923078
20,8,gt_max_lca,transfer_distance,
20,8,hamming,rf_distance,0.13043478260869565
20,8,hamming,quartet_distance,0.043010033444816055
20,8,hamming,triplet_distance,0.13576923076923078
20,8,hamming,transfer_distance,
20,8,hamming_max_lca,rf_distance,0.13043478260869565
20,8,hamming_max_lca,quartet_distance,0.043010033444816055
20,8,hamming_max_lca,triplet_distance,0.13576923076923078
20,8,hamming_max_lca,transfer_distance,
20,8,nll,rf_distance,0.13043478260869565
20,8,nll,quartet_distance,0.04173913043478261
20,8,nll,triplet_distance,0.13576923076923078
20,8,nll,transfer_distance,
20,8,nll_max_lca,rf_distance,0.08695652173913043
20,8,nll_max_lca,quartet_distance,0.027759197324414717
20,8,nll_max_lca,triplet_distance,0.11384615384615385
20,8,nll_max_lca,transfer_distance,
20,9,dlca_nj,rf_distance,0.13043478260869565
20,9,dlca_nj,quartet_distance,0.037926421404682276
20,9,dlca_nj,triplet_distance,0.12846153846153846
20,9,dlca_nj,transfer_distance,
20,9,srnj_min_D,rf_distance,0.13043478260869565
20,9,srnj_min_D,quartet_distance,0.03411371237458194
20,9,srnj_min_D,triplet_distance,0.12115384615384615
20,9,srnj_min_D,transfer_distance,
20,9,srnj_max_lca,rf_distance,0.13043478260869565
20,9,srnj_max_lca,quartet_distance,0.04555183946488294
20,9,srnj_max_lca,triplet_distance,0.14307692307692307
20,9,srnj_max_lca,transfer_distance,
20,9,gt_min,rf_distance,0.13043478260869565
20,9,gt_min,quartet_distance,0.03411371237458194
20,9,gt_min,triplet_distance,0.12115384615384615
20,9,gt_min,transfer_distance,
20,9,gt_max_lca,rf_distance,0.13043478260869565
20,9,gt_max_lca,quartet_distance,0.043010033444816055
20,9,gt_max_lca,triplet_distance,0.13576923076923078
20,9,gt_max_lca,transfer_distance,
20,9,hamming,rf_distance,0.13043478260869565
20,9,hamming,quartet_distance,0.046822742474916385
20,9,hamming,triplet_distance,0.165
20,9,hamming,transfer_distance,
20,9,hamming_max_lca,rf_distance,0.13043478260869565
20,9,hamming_max_lca,quartet_distance,0.043010033444816055
20,9,hamming_max_lca,triplet_distance,0.13576923076923078
20,9,hamming_max_lca,transfer_distance,
20,9,nll,rf_distance,0.13043478260869565
20,9,nll,quartet_distance,0.04555183946488294
20,9,nll,triplet_distance,0.14307692307692307
20,9,nll,transfer_distance,
20,9,nll_max_lca,rf_distance,0.13043478260869565
20,9,nll_max_lca,quartet_distance,0.03411371237458194
20,9,nll_max_lca,triplet_distance,0.12115384615384615
20,9,nll_max_lca,transfer_distance,
20,10,dlca_nj,rf_distance,0.13043478260869565
