seed,n_cells,n_bins,n_clones,lamda,n_chrom,dist_method,tree_method,quartet_distance,rf_distance,transfer_distance,triplet_distance,rootsplit_distance
2,50,1000,6,2,10,med2,nj,0.0975,0.4583,0.5833,0.1779,0.1538
2,50,1000,6,2,10,sconce2,snj,0.1088,0.4792,0.6458,0.1879,0.1538
2,50,1000,6,2,10,med2,snj,0.2118,0.5833,1.0625,0.2418,0.1538
2,50,1000,6,2,10,sconce2,rnj,0.0955,0.4583,0.5833,0.1772,0.1538
2,50,1000,6,2,10,med2,rnj,0.1833,0.5417,0.8125,0.2343,0.1538
2,50,1000,6,2,10,sconce2,anj,0.1078,0.4375,0.5833,0.1876,0.1538
2,50,1000,6,2,10,med2,anj,0.1832,0.5208,0.7917,0.2343,0.1538
2,50,1000,6,2,10,sconce2,fastme,0.1194,0.5000,0.7292,0.1912,0.1538
2,50,1000,6,2,10,med2,fastme,0.0992,0.5000,0.6458,0.1783,0.1538
2,50,1000,6,2,10,sconce2,srnj1,0.3255,0.7917,1.5208,0.2929,0.1538
2,50,1000,6,2,10,med2,srnj1,0.3622,0.7708,1.8333,0.3083,0.1538
2,50,1000,6,2,10,sconce2,srnj,0.1389,0.5625,0.8750,0.2006,0.1538
2,50,1000,6,2,10,med2,srnj,0.2258,0.6042,1.0208,0.2532,0.1538
2,50,1000,6,2,10,sconce2,srnjmaxlca,0.1434,0.5208,0.8125,0.1792,0.1538
2,50,1000,6,2,10,med2,srnjmaxlca,0.1872,0.5625,0.8542,0.2320,0.1538
3,20,1000,6,2,10,sconce2,nj,0.0475,0.1667,0.1667,0.0323,0.0000
3,20,1000,6,2,10,med2,nj,0.0000,0.0000,0.0000,0.0000,0.0000
3,20,1000,6,2,10,sconce2,snj,0.0739,0.2222,0.2778,0.0511,0.0000
3,20,1000,6,2,10,med2,snj,0.0000,0.0000,0.0000,0.0000,0.0000
3,20,1000,6,2,10,sconce2,rnj,0.0057,0.0556,0.0556,0.0015,0.0000
3,20,1000,6,2,10,med2,rnj,0.0518,0.1111,0.1667,0.0466,0.0000
3,20,1000,6,2,10,sconce2,anj,0.0057,0.0556,0.0556,0.0015,0.0000
3,20,1000,6,2,10,med2,anj,0.0518,0.1111,0.1667,0.0466,0.0000
3,20,1000,6,2,10,sconce2,fastme,0.0475,0.1667,0.1667,0.0323,0.0000
3,20,1000,6,2,10,med2,fastme,0.0000,0.0000,0.0000,0.0000,0.0000
3,20,1000,6,2,10,sconce2,srnj1,0.0972,0.3889,0.3889,0.1699,0.3333
3,20,1000,6,2,10,med2,srnj1,0.0805,0.2222,0.3333,0.0602,0.0000
3,20,1000,6,2,10,sconce2,srnj,0.0137,0.1111,0.1111,0.0038,0.0000
3,20,1000,6,2,10,med2,srnj,0.0635,0.1667,0.2222,0.0504,0.0000
3,20,1000,6,2,10,sconce2,srnjmaxlca,0.0849,0.3333,0.4444,0.1549,0.6667
3,20,1000,6,2,10,med2,srnjmaxlca,0.0805,0.2222,0.3333,0.0602,0.0000
3,50,1000,6,2,10,sconce2,nj,0.1481,0.4167,0.8125,0.1913,0.0000
3,50,1000,6,2,10,med2,nj,0.1609,0.4583,1.0417,0.1955,0.0000
3,50,1000,6,2,10,sconce2,snj,0.1485,0.4167,0.9583,0.0628,0.0000
3,50,1000,6,2,10,med2,snj,0.1664,0.6042,1.1667,0.2156,0.0000
3,50,1000,6,2,10,sconce2,rnj,0.1486,0.3542,0.7500,0.1914,0.0000
3,50,1000,6,2,10,med2,rnj,0.1430,0.4375,0.8125,0.1893,0.0000
3,50,1000,6,2,10,sconce2,anj,0.1525,0.4167,0.8125,0.1926,0.0000
3,50,1000,6,2,10,med2,anj,0.1430,0.4375,0.8125,0.1893,0.0000
3,50,1000,6,2,10,sconce2,fastme,0.1588,0.4375,0.9583,0.1946,0.0000
3,50,1000,6,2,10,med2,fastme,0.1609,0.4167,1.0000,0.1955,0.0000
3,50,1000,6,2,10,sconce2,srnj1,0.2774,0.6875,1.5208,0.2924,0.1000
