n_cells,seed,method,est_time,num_calls
100,5,dlca_nj,495.00398946,4950
100,5,srnj1,104.03100492,1040
100,5,srnj,320.23664204,3202
100,5,srnj_maxlca,343.33780179,3433
100,5,snj,460.49952321,4604
100,6,nj,495.01807708,4950
100,6,dlca_nj,495.00358833,4950
100,6,srnj1,103.03179533,1030
100,6,srnj,314.54913746,3144
100,6,srnj_maxlca,312.73575733,3127
100,6,snj,462.10424754,4620
100,7,nj,495.01798375,4950
100,7,dlca_nj,495.00361883,4950
100,7,srnj1,107.43341933,1074
100,7,srnj,338.23742629,3382
100,7,srnj_maxlca,324.63687783,3246
100,7,snj,458.10212579,4580
100,8,nj,495.01775667,4950
100,8,dlca_nj,495.00400288,4950
100,8,srnj1,111.73402571,1117
100,8,srnj,360.93791858,3609
100,8,srnj_maxlca,343.03728179,3430
100,8,snj,463.59779663,4635
100,9,nj,495.01789763,4950
100,9,dlca_nj,495.00405254,4950
100,9,srnj1,112.03376692,1120
100,9,srnj,306.03780067,3060
100,9,srnj_maxlca,297.83638654,2978
100,9,snj,461.70408183,4616
100,10,nj,495.01788625,4950
100,10,dlca_nj,495.00409133,4950
100,10,srnj1,104.13224950,1041
100,10,srnj,355.63615117,3556
100,10,srnj_maxlca,343.43655175,3434
100,10,snj,451.80414146,4517
100,11,nj,495.01781583,4950
100,11,dlca_nj,495.00398892,4950
100,11,srnj1,106.93307408,1069
100,11,srnj,290.33562875,2903
100,11,srnj_maxlca,297.03562292,2970
100,11,snj,465.00083371,4649
100,12,nj,495.01772929,4950
100,12,dlca_nj,495.00420050,4950
100,12,srnj1,107.83301296,1078
100,12,srnj,311.03577629,3110
100,12,srnj_maxlca,279.43512908,2794
100,12,snj,459.09939125,4590
100,13,nj,495.01817946,4950
100,13,dlca_nj,495.00356079,4950
100,13,srnj1,104.83211125,1048
100,13,srnj,285.73553504,2857
100,13,srnj_maxlca,289.53459400,2895
100,13,snj,462.10500854,4620
100,14,nj,495.01760046,4950
100,14,dlca_nj,495.00410779,4950
100,14,srnj1,101.63249129,1016
100,14,srnj,267.23551867,2672
100,14,srnj_maxlca,315.63631579,3156
100,14,snj,464.80475996,4647
100,15,nj,495.01805167,4950
100,15,dlca_nj,495.00367442,4950
100,15,srnj1,100.73200508,1007
100,15,srnj,337.83740800,3378
100,15,srnj_maxlca,340.53661337,3405
100,15,snj,459.50289279,4594
100,16,nj,495.01785471,4950
100,16,dlca_nj,495.00350717,4950
100,16,srnj1,101.93038975,1019
100,16,srnj,321.73634117,3217
100,16,srnj_maxlca,327.83500283,3278
100,16,snj,459.71991913,4595
100,17,nj,495.01771992,4950
100,17,dlca_nj,495.00361950,4950
100,17,srnj1,103.93212696,1039
