n_cells,seed,strategy,correct_A,correct_B,correct_pair,correct_direction,total_decisions,pair_accuracy,side_accuracy,direction_accuracy
50,19,gt_max_lca,187,187,187,187,187,1.0,1.0,1.0
50,19,hamming,151,164,133,185,185,0.7189189189189189,0.8513513513513513,1.0
50,19,hamming_max_lca,175,180,163,192,192,0.8489583333333334,0.9244791666666666,1.0
50,19,nll,181,180,172,189,189,0.91005291005291,0.955026455026455,1.0
50,19,nll_max_lca,183,180,177,186,186,0.9516129032258065,0.9758064516129032,1.0
100,0,gt_min,476,476,476,476,476,1.0,1.0,1.0
100,0,gt_max_lca,477,477,477,477,477,1.0,1.0,1.0
100,0,hamming,415,440,367,493,493,0.744421906693712,0.8671399594320487,1.0
100,0,hamming_max_lca,454,457,420,491,491,0.8553971486761711,0.9276985743380856,1.0
100,0,nll,438,440,399,480,480,0.83125,0.9145833333333333,1.0
100,0,nll_max_lca,468,466,454,480,480,0.9458333333333333,0.9729166666666667,1.0
100,1,gt_min,476,476,476,476,476,1.0,1.0,1.0
100,1,gt_max_lca,477,477,477,477,477,1.0,1.0,1.0
100,1,hamming,414,433,372,480,480,0.775,0.8822916666666667,1.0
100,1,hamming_max_lca,445,445,405,485,485,0.8350515463917526,0.9175257731958762,1.0
100,1,nll,428,435,385,479,479,0.8037578288100209,0.9008350730688935,1.0
100,1,nll_max_lca,458,464,448,474,474,0.9451476793248945,0.9725738396624473,1.0
100,2,gt_min,487,487,487,487,487,1.0,1.0,1.0
100,2,gt_max_lca,491,491,491,491,491,1.0,1.0,1.0
100,2,hamming,412,454,385,487,487,0.7905544147843943,0.8891170431211499,1.0
100,2,hamming_max_lca,430,442,393,479,479,0.8204592901878914,0.9102296450939458,1.0
100,2,nll,417,446,376,463,488,0.7704918032786885,0.8842213114754098,0.9487704918032787
100,2,nll_max_lca,466,473,459,480,480,0.95625,0.978125,1.0
100,3,gt_min,487,487,487,487,487,1.0,1.0,1.0
100,3,gt_max_lca,481,481,481,481,481,1.0,1.0,1.0
100,3,hamming,435,428,383,484,484,0.7913223140495868,0.8915289256198347,1.0
100,3,hamming_max_lca,434,450,406,478,478,0.8493723849372385,0.9246861924686193,1.0
100,3,nll,446,444,410,482,482,0.8506224066390041,0.9232365145228216,1.0
100,3,nll_max_lca,465,466,455,476,476,0.9558823529411765,0.9779411764705882,1.0
100,4,gt_min,489,489,489,489,489,1.0,1.0,1.0
100,4,gt_max_lca,480,480,480,480,480,1.0,1.0,1.0
100,4,hamming,409,410,360,465,465,0.7741935483870968,0.8806451612903226,1.0
100,4,hamming_max_lca,432,440,399,473,473,0.8435517970401691,0.9217758985200846,1.0
100,4,nll,449,440,407,482,482,0.8443983402489627,0.9221991701244814,1.0
100,4,nll_max_lca,475,481,468,488,488,0.9590163934426229,0.9795081967213115,1.0
100,5,gt_min,473,473,473,473,473,1.0,1.0,1.0
100,5,gt_max_lca,477,477,477,477,477,1.0,1.0,1.0
100,5,hamming,417,437,373,489,489,0.7627811860940695,0.8732106339468303,1.0
100,5,hamming_max_lca,408,436,379,465,465,0.8150537634408602,0.9075268817204301,1.0
100,5,nll,423,443,397,470,470,0.8446808510638298,0.9212765957446809,1.0
100,5,nll_max_lca,456,452,440,468,468,0.9401709401709402,0.9700854700854701,1.0
100,6,gt_min,476,476,476,476,476,1.0,1.0,1.0
100,6,gt_max_lca,485,485,485,485,485,1.0,1.0,1.0
100,6,hamming,423,436,389,474,474,0.820675105485232,0.9061181434599156,1.0
100,6,hamming_max_lca,441,442,403,480,480,0.8395833333333333,0.9197916666666667,1.0
100,6,nll,445,455,409,491,491,0.8329938900203666,0.9164969450101833,1.0
100,6,nll_max_lca,466,465,455,476,476,0.9558823529411765,0.9779411764705882,1.0
100,7,gt_min,471,471,471,471,471,1.0,1.0,1.0
100,7,gt_max_lca,476,476,476,476,476,1.0,1.0,1.0
100,7,hamming,414,428,368,483,483,0.7619047619047619,0.8716356107660456,1.0
100,7,hamming_max_lca,437,447,409,475,475,0.8610526315789474,0.9305263157894736,1.0
100,7,nll,424,424,385,466,466,0.8261802575107297,0.9098712446351931,1.0
100,7,nll_max_lca,481,485,463,503,503,0.9204771371769384,0.9602385685884692,1.0
100,8,gt_min,492,492,492,492,492,1.0,1.0,1.0
100,8,gt_max_lca,483,483,483,483,483,1.0,1.0,1.0
100,8,hamming,430,430,376,484,484,0.7768595041322314,0.8884297520661157,1.0
100,8,hamming_max_lca,424,440,387,477,477,0.8113207547169812,0.9056603773584906,1.0
100,8,nll,450,453,420,484,484,0.8677685950413223,0.9328512396694215,1.0
100,8,nll_max_lca,476,475,455,496,496,0.9173387096774194,0.9586693548387096,1.0
100,9,gt_min,484,484,484,484,484,1.0,1.0,1.0
100,9,gt_max_lca,497,497,497,497,497,1.0,1.0,1.0
100,9,hamming,427,408,365,479,479,0.7620041753653445,0.8716075156576201,1.0
100,9,hamming_max_lca,448,441,409,480,480,0.8520833333333333,0.9260416666666667,1.0
100,9,nll,426,439,392,469,478,0.8200836820083682,0.9048117154811716,0.9811715481171548
100,9,nll_max_lca,442,435,419,458,458,0.9148471615720524,0.9574235807860262,1.0
100,10,gt_min,483,483,483,483,483,1.0,1.0,1.0
100,10,gt_max_lca,488,488,488,488,488,1.0,1.0,1.0
100,10,hamming,414,418,363,475,475,0.7642105263157895,0.8757894736842106,1.0
100,10,hamming_max_lca,436,435,394,477,477,0.8259958071278826,0.9129979035639413,1.0
100,10,nll,429,424,385,470,470,0.8191489361702128,0.9074468085106383,1.0
100,10,nll_max_lca,470,470,457,483,483,0.9461697722567288,0.9730848861283644,1.0
100,11,gt_min,491,491,491,491,491,1.0,1.0,1.0
100,11,gt_max_lca,476,476,476,476,476,1.0,1.0,1.0
100,11,hamming,407,424,364,472,472,0.7711864406779662,0.8802966101694916,1.0
100,11,hamming_max_lca,431,449,398,482,482,0.8257261410788381,0.9128630705394191,1.0
100,11,nll,432,446,391,488,488,0.8012295081967213,0.8995901639344263,1.0
100,11,nll_max_lca,453,470,443,480,480,0.9229166666666667,0.9614583333333333,1.0
100,12,gt_min,462,462,462,462,462,1.0,1.0,1.0
100,12,gt_max_lca,471,471,471,471,471,1.0,1.0,1.0
100,12,hamming,398,426,352,480,480,0.7333333333333333,0.8583333333333333,1.0
100,12,hamming_max_lca,447,449,415,481,481,0.8627858627858628,0.9313929313929314,1.0
100,12,nll,428,441,394,475,475,0.8294736842105264,0.9147368421052632,1.0
100,12,nll_max_lca,474,482,461,495,495,0.9313131313131313,0.9656565656565657,1.0
100,13,gt_min,475,475,475,475,475,1.0,1.0,1.0
100,13,gt_max_lca,476,476,476,476,476,1.0,1.0,1.0
100,13,hamming,400,431,369,466,466,0.7918454935622318,0.8916309012875536,1.0
100,13,hamming_max_lca,425,440,379,486,486,0.779835390946502,0.8899176954732511,1.0
